,title,population,visiting_status,datetime_of_data,full_address,bop_region,county,judicial_district,gender,zip_code
2794,FCI THREE RIVERS,1257,Not Suspended,2024-03-01 10:39:57 PST,"US HIGHWAY 72 WEST, THREE RIVERS, TX 78071",South Central Region,Live Oak,Southern Texas,Male,78071
2795,FCI TUCSON,292,Not Suspended,2024-03-01 10:40:13 PST,"8901 S. WILMOT ROAD, TUCSON, AZ 85756",Western Region,PIMA,Arizona,Male and Female,85756
2796,USP TUCSON,1320,Not Suspended,2024-03-01 10:40:28 PST,"9300 SOUTH WILMOT ROAD, TUCSON, AZ 85756",Western Region,PIMA,Arizona,Male,85756
2797,FCI VICTORVILLE MEDIUM I,1577,Not Suspended,2024-03-01 10:40:44 PST,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,SAN BERNARDINO,Central California,Male and Female,92394
2798,FCI VICTORVILLE MEDIUM II,1484,Not Suspended,2024-03-01 10:41:00 PST,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,SAN BERNARDINO,Central California,Male,92394
2799,USP VICTORVILLE,1192,Not Suspended,2024-03-01 10:41:15 PST,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,San Bernardino,Central California,Male,92394
2800,FCI WASECA,768,Not Suspended,2024-03-01 10:41:33 PST,"1000 UNIVERSITY DR, SW, WASECA, MN 56093",North Central Region,Waseca,Minnesota,Female,56093
2801,FCI WILLIAMSBURG,1202,Not Suspended,2024-03-01 10:41:49 PST,"8301 HIGHWAY 521, SALTERS, SC 29590",Southeast Region,Williamsburg,South Carolina,Male,29590
2802,FPC YANKTON,430,Not Suspended,2024-03-01 10:42:04 PST,"1016 DOUGLAS AVENUE, YANKTON, SD 57078",North Central Region,Yankton,South Dakota,Male,57078
2803,FCI YAZOO CITY MEDIUM,1289,Not Suspended,2024-03-01 10:42:20 PST,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male,39194
2804,FCI YAZOO CITY LOW,1354,Not Suspended,2024-03-01 10:42:36 PST,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male,39194
2805,USP YAZOO CITY,1481,Not Suspended,2024-03-01 10:42:51 PST,"2225 HALEY BARBOUR PKWY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male,39194
2806,FPC ALDERSON,725,Not Suspended,2023-11-28 10:15:40 PST,"GLEN RAY RD. BOX A, ALDERSON, WV 24910",Mid-Atlantic Region,GREENBRIER,Southern West Virginia,Female,24910
2807,FCI ALICEVILLE,1617,Not Suspended,2023-11-28 10:15:56 PST,"11070 HIGHWAY 14, ALICEVILLE, AL 35442",Southeast Region,PICKENS,Northern District of Alabama,Female,35442
2808,FCI ALLENWOOD LOW,1035,Not Suspended,2023-11-28 10:16:12 PST,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,UNION,Middle Pennsylvania,Male,17810
2809,FCI ALLENWOOD MEDIUM,1296,Not Suspended,2023-11-28 10:16:28 PST,"RT 15, 2 MI N OF ALLENWOOD, WHITE DEER, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male,17810
2810,USP ALLENWOOD,295,Not Suspended,2023-11-28 10:16:43 PST,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male,17810
2811,FCI ASHLAND,1308,Not Suspended,2023-11-28 10:16:59 PST,"ST. ROUTE 716, ASHLAND, KY 41105",Mid-Atlantic Region,BOYD,Eastern Kentucky,Male,41105
2812,USP ATLANTA,1874,Not Suspended,2023-11-28 10:17:14 PST,"601 MCDONOUGH BLVD SE, ATLANTA, GA 30315",Southeast Region,FULTON,Northern Georgia,Male,30315
2813,USP ATWATER,1155,Not Suspended,2023-11-28 10:17:30 PST,"1 FEDERAL WAY, ATWATER, CA 95301",Western Region,MERCED,Eastern California,Male,95301
2814,FCI BASTROP,1110,Not Suspended,2023-11-28 10:17:45 PST,"1341 HIGHWAY 95 NORTH, BASTROP, TX 78602",South Central Region,Bastrop,Western Texas,Male,78602
2815,FCI BEAUMONT LOW,2031,Suspended,2023-11-28 10:18:01 PST,"5560 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male,77705
2816,FCI BEAUMONT MEDIUM,1676,Suspended,2023-11-28 10:18:17 PST,"5830 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male,77705
2817,USP BEAUMONT,1043,Suspended,2023-11-28 10:18:35 PST,"6200 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male,77705
2818,FCI BECKLEY,1712,Not Suspended,2023-11-28 10:18:50 PST,"1600 INDUSTRIAL ROAD, BEAVER, WV 25813",Mid-Atlantic Region,Raleigh,Southern West Virginia,Male,25813
2819,FCI BENNETTSVILLE,1609,Not Suspended,2023-11-28 10:19:05 PST,"696 MUCKERMAN ROAD, BENNETTSVILLE, SC 29512",Southeast Region,Marlboro,South Carolina,Male,29512
2820,FCI BERLIN,773,Not Suspended,2023-11-28 10:19:21 PST,"1 SUCCESS LOOP ROAD, BERLIN, NH 03570",Northeast Region,COOS COUNTY,District of New Hampshire,Male,03570
2821,USP BIG SANDY,1421,Not Suspended,2023-11-28 10:19:37 PST,"1197 AIRPORT ROAD, INEZ, KY 41224",Mid-Atlantic Region,Martin,Eastern Kentucky,Male,41224
2822,FCI BIG SPRING,1093,Not Suspended,2023-11-28 10:19:52 PST,"1900 SIMLER AVE, BIG SPRING, TX 79720",South Central Region,HOWARD,Northern Texas,Male,79720
2823,MDC BROOKLYN,1609,Not Suspended,2023-11-28 10:20:07 PST,"80 29TH STREET, BROOKLYN, NY 11232",Northeast Region,KINGS,Eastern New York,Male and Female,11232
2824,FPC BRYAN,690,Not Suspended,2023-11-28 10:20:23 PST,"1100 URSULINE AVENUE, BRYAN, TX 77803",South Central Region,BRAZOS,Southern Texas,Female,77803
2825,FCI BUTNER MEDIUM II,1447,Not Suspended,2023-11-28 10:20:38 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male,27509
2826,FCI BUTNER LOW,959,Not Suspended,2023-11-28 10:20:54 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male,27509
2827,FCI BUTNER MEDIUM I,869,Not Suspended,2023-11-28 10:21:09 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male,27509
2828,FMC BUTNER,826,Not Suspended,2023-11-28 10:21:25 PST,"OLD N. CAROLINA HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,Granville,Eastern North Carolina,Male,27509
2829,USP CANAAN,1271,Suspended,2023-11-28 10:21:41 PST,"3057 ERIC J. WILLIAMS, WAYMART, PA 18472",Northeast Region,WAYNE,Middle Pennsylvania,Male,18472
2830,FMC CARSWELL,965,Not Suspended,2023-11-28 10:21:56 PST,"NAVAL AIR STATION, FORT WORTH, TX 76127",South Central Region,TARRANT,Northern Texas,Female,76127
2831,MCC CHICAGO,488,Not Suspended,2023-11-28 10:22:11 PST,"71 WEST VAN BUREN STREET, CHICAGO, IL 60605",North Central Region,COOK,Northern Illinois,Male and Female,60605
2832,FCI COLEMAN LOW,2031,Suspended,2023-11-28 10:22:27 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male,33521
2833,FCI COLEMAN MEDIUM,1568,Not Suspended,2023-11-28 10:22:42 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male,33521
2834,USP COLEMAN II,1189,Not Suspended,2023-11-28 10:22:57 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male,33521
2835,USP COLEMAN I,1398,Suspended,2023-11-28 10:23:13 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male,33521
2836,FCI CUMBERLAND,1060,Not Suspended,2023-11-28 10:23:29 PST,"14601 BURBRIDGE RD SE, CUMBERLAND, MD 21502",Mid-Atlantic Region,Allegany,Maryland,Male,21502
2837,FCI DANBURY,929,Not Suspended,2023-11-28 10:23:44 PST,"33 1/2 PEMBROKE STATION, DANBURY, CT 06811",Northeast Region,FAIRFIELD,Connecticut,Male and Female,06811
2838,FMC DEVENS,901,Not Suspended,2023-11-28 10:24:00 PST,"42 PATTON ROAD, AYER, MA 01432",Northeast Region,MIDDLESEX,Massachusetts,Male,01432
2839,FCI DUBLIN,701,Not Suspended,2023-11-28 10:24:15 PST,"5701 8TH ST - CAMP PARKS, DUBLIN, CA 94568",Western Region,Alameda,Northern California,Female,94568
2840,FPC DULUTH,432,Not Suspended,2023-11-28 10:24:30 PST,"4464 RALSTON DRIVE, DULUTH, MN 55811",North Central Region,SAINT LOUIS,Minnesota,Male,55811
2841,FCI EDGEFIELD,2000,Not Suspended,2023-11-28 10:24:46 PST,"501 GARY HILL ROAD, EDGEFIELD, SC 29824",Southeast Region,Edgefield,South Carolina,Male,29824
2842,FCI EL RENO,1237,Not Suspended,2023-11-28 10:25:02 PST,"4205 HIGHWAY 66 WEST, EL RENO, OK 73036",South Central Region,CANADIAN,Western Oklahoma,Male,73036
2843,FCI ELKTON,1964,Not Suspended,2023-11-28 10:25:18 PST,"8730 SCROGGS ROAD, LISBON, OH 44432",Northeast Region,COLUMBIANA,Northern Ohio,Male,44432
2844,FCI ENGLEWOOD,908,Not Suspended,2023-11-28 10:25:33 PST,"9595 WEST QUINCY AVENUE, LITTLETON, CO 80123",North Central Region,JEFFERSON,Colorado,Male,80123
2845,FCI ESTILL,53,Not Suspended,2023-11-28 10:25:49 PST,"100 PRISON ROAD, ESTILL, SC 29918",Southeast Region,HAMPTON,South Carolina,Male,29918
2846,FCI FAIRTON,823,Not Suspended,2023-11-28 10:26:04 PST,"655 FAIRTON-MILLVILLE ROAD, FAIRTON, NJ 08320",Northeast Region,Cumberland,New Jersey,Male,08320
