population,daily_high_temperature,daily_low_temperature,daily_precipitation,lockdown_percentage,gender_Male,gender_Male and Female,political_affiliation_purple,political_affiliation_red
409.0,40.0,28.9,3.29,0.0,1,0,0,1
1352.0,58.0,45.7,0.01,6.796116504854369,0,1,0,0
1301.0,36.6,27.9,5.93,4.854368932038835,0,1,0,0
683.0,72.0,57.8,0.19,0.0,0,0,0,0
1508.0,49.1,31.8,0.0,0.0,1,0,0,1
854.0,80.5,52.7,0.0,0.0,1,0,0,1
769.0,49.0,34.1,0.0,0.0,0,0,0,0
1027.0,43.2,25.4,0.0,7.766990291262135,1,0,1,0
1409.0,40.6,33.9,20.45,1.9417475728155338,1,0,1,0
978.0,75.6,70.6,2.07,0.0,1,0,1,0
1385.0,48.2,39.6,0.0,34.95145631067961,1,0,0,1
1523.0,100.9,72.3,0.0,0.0,1,0,1,0
954.0,56.5,34.6,0.0,3.8834951456310676,1,0,1,0
1417.0,47.8,32.1,0.0,11.650485436893204,1,0,1,0
1611.0,73.7,49.8,0.0,18.446601941747574,1,0,1,0
630.0,61.0,52.4,0.0,0.0,0,1,0,0
1257.0,45.5,28.0,0.0,1.9417475728155338,1,0,1,0
2021.0,61.5,57.7,7.53,18.446601941747574,1,0,1,0
1493.0,51.1,27.9,4.05,6.796116504854369,1,0,0,1
886.0,50.9,37.7,0.0,2.912621359223301,1,0,1,0
1086.0,52.9,37.6,0.0,10.679611650485436,1,0,0,1
1092.0,68.5,46.8,0.68,0.0,1,0,1,0
0.0,44.9,34.4,0.0,100.0,1,0,0,0
1036.0,64.4,45.8,0.0,18.446601941747574,1,0,1,0
1499.0,42.7,39.6,4.25,6.796116504854369,0,1,0,0
1669.0,70.6,58.8,2.0,9.70873786407767,1,0,1,0
950.0,85.5,53.4,0.0,0.0,1,0,1,0
322.0,64.9,44.3,0.01,0.0,1,0,1,0
1492.0,66.5,41.6,0.0,0.0,1,0,0,1
0.0,46.3,39.8,5.32,100.0,1,0,0,0
962.0,39.6,21.7,0.0,53.398058252427184,1,0,1,0
1058.0,46.4,32.3,8.92,7.766990291262135,1,0,0,0
2031.0,53.9,40.5,0.0,4.854368932038835,1,0,0,1
984.0,41.5,32.7,0.82,2.912621359223301,1,0,1,0
1558.0,45.1,26.2,2.02,4.854368932038835,1,0,0,1
60.0,81.0,67.5,0.01,0.0,1,0,0,1
1239.0,100.4,65.5,0.0,20.388349514563107,0,1,1,0
1592.0,70.3,44.3,3.24,0.0,1,0,1,0
2028.0,60.7,48.9,1.29,49.51456310679612,1,0,1,0
927.0,42.7,30.4,0.0,0.0,0,1,1,0
1642.0,91.6,53.8,0.0,20.388349514563107,0,1,0,0
1058.0,43.3,34.2,0.0,0.0,1,0,0,0
1030.0,41.9,27.0,0.0,27.184466019417474,1,0,1,0
1215.0,65.3,42.1,0.0,0.0,1,0,0,1
432.0,33.5,28.9,0.09,2.912621359223301,1,0,0,0
1430.0,44.9,24.0,0.0,11.650485436893204,1,0,1,0
791.0,52.7,41.9,4.87,3.8834951456310676,1,0,0,0
1220.0,82.2,70.7,12.73,0.0,0,1,1,0
1606.0,53.8,37.2,0.11,4.854368932038835,1,0,0,0
410.0,39.9,23.5,21.32,0.0,1,0,0,1
1520.0,100.9,72.3,0.0,0.0,1,0,1,0
2020.0,96.4,73.9,0.15,18.446601941747574,1,0,1,0
1719.0,50.3,36.9,0.3,9.70873786407767,1,0,1,0
1558.0,69.1,53.9,0.0,12.62135922330097,1,0,0,1
1200.0,56.7,49.1,6.6,20.388349514563107,0,1,1,0
1972.0,46.4,28.3,0.13,15.66265060240964,1,0,0,0
1034.0,75.4,50.2,0.0,3.8834951456310676,0,1,1,0
1086.0,85.3,63.8,0.0,0.0,1,0,0,1
943.0,66.8,47.1,0.17,61.76470588235294,1,0,0,0
1982.0,71.9,53.2,0.17,18.446601941747574,1,0,1,0
1124.0,52.7,26.4,0.0,6.796116504854369,1,0,0,1
679.0,15.9,5.7,1.62,18.446601941747574,1,0,0,0
880.0,71.4,68.0,0.0,0.9708737864077669,0,1,1,0
801.0,42.5,32.3,0.0,3.8834951456310676,1,0,0,0
704.0,51.2,40.7,8.9,0.0,0,0,0,0
1640.0,61.1,31.6,0.07,4.854368932038835,1,0,1,0
934.0,45.5,29.8,0.0,0.0,1,0,0,1
785.0,59.4,53.5,6.13,0.0,1,0,1,0
1272.0,82.0,37.4,0.0,1.9417475728155338,1,0,1,0
1224.0,61.7,32.6,0.0,0.0,0,1,1,0
1656.0,90.2,64.2,0.0,0.0,0,0,0,1
1086.0,81.9,64.8,1.18,0.0,1,0,0,1
1107.0,76.8,51.6,0.0,17.475728155339805,1,0,1,0
1672.0,78.8,56.4,0.0,4.854368932038835,1,0,1,0
966.0,71.7,64.2,0.01,0.0,1,0,1,0
1102.0,69.7,45.3,0.0,6.796116504854369,0,1,0,0
