ds,yhat,title,zip,avgtemp_f,totalprecip_mm,lockdown_probability
2024-05-01 22:02:10,1262.012294178862,USP BEAUMONT,77705,75.9,8.06,0.5619002377777825
2024-05-02 22:02:10,1269.1906488496938,USP BEAUMONT,77705,76.8,0.41,0.535289656232523
2024-05-03 22:02:10,1270.5664269019358,USP BEAUMONT,77705,60.0,0.0,0.4946113286778406
2024-05-04 22:02:10,1271.0440169687595,USP BEAUMONT,77705,60.0,0.0,0.4946164784634265
2024-05-05 22:02:10,1279.1418128142739,USP BEAUMONT,77705,60.0,0.0,0.4947037960142805
2024-05-06 22:02:10,1279.9604102443923,USP BEAUMONT,77705,60.0,0.0,0.49471262286919504
2024-05-07 22:02:10,1278.6117605951547,USP BEAUMONT,77705,60.0,0.0,0.49469808051552394
2024-05-08 22:02:10,1275.300616305641,USP BEAUMONT,77705,60.0,0.0,0.4946623768174162
2024-05-01 22:02:27,1713.8949851775285,FCI BECKLEY,25813,60.9,0.03,0.5016056813663182
2024-05-02 22:02:27,1714.7588467019948,FCI BECKLEY,25813,64.4,0.0,0.5096655754165675
2024-05-03 22:02:27,1717.7384243660497,FCI BECKLEY,25813,60.0,0.0,0.49943347174042224
2024-05-04 22:02:27,1719.0631495966295,FCI BECKLEY,25813,60.0,0.0,0.49944775770354255
2024-05-05 22:02:27,1719.695103080896,FCI BECKLEY,25813,60.0,0.0,0.49945457275045496
2024-05-06 22:02:27,1724.881648872441,FCI BECKLEY,25813,60.0,0.0,0.49951050496454513
2024-05-07 22:02:27,1721.0289301175674,FCI BECKLEY,25813,60.0,0.0,0.4994689568696551
2024-05-08 22:02:27,1723.1893007482292,FCI BECKLEY,25813,60.0,0.0,0.4994922545164165
2024-05-01 22:02:43,1633.5973839484834,FCI BENNETTSVILLE,29512,70.8,0.42,0.5252962594356364
2024-05-02 22:02:43,1631.723075764027,FCI BENNETTSVILLE,29512,72.1,0.02,0.5267861067916814
2024-05-03 22:02:43,1633.864321586986,FCI BENNETTSVILLE,29512,60.0,0.0,0.49852896829333787
2024-05-04 22:02:43,1633.7666736940228,FCI BENNETTSVILLE,29512,60.0,0.0,0.4985279152569586
2024-05-05 22:02:43,1636.2079947116522,FCI BENNETTSVILLE,29512,60.0,0.0,0.49855424250424873
2024-05-06 22:02:43,1637.1409845218996,FCI BENNETTSVILLE,29512,60.0,0.0,0.4985643038843231
2024-05-07 22:02:43,1642.5973361633123,FCI BENNETTSVILLE,29512,60.0,0.0,0.4986231453084822
2024-05-08 22:02:43,1637.7037972340413,FCI BENNETTSVILLE,29512,60.0,0.0,0.4985703732680082
2024-05-01 22:03:04,802.4910924376514,FCI BERLIN,03570,40.9,0.58,0.44739968937659014
2024-05-02 22:03:04,801.5453840795116,FCI BERLIN,03570,44.7,4.8,0.4721126715928682
2024-05-03 22:03:04,795.5053298381029,FCI BERLIN,03570,60.0,0.0,0.48948955799779625
2024-05-04 22:03:04,801.7974811927695,FCI BERLIN,03570,60.0,0.0,0.48955738345188493
2024-05-05 22:03:04,797.8866226119927,FCI BERLIN,03570,60.0,0.0,0.48951522679834986
2024-05-06 22:03:04,796.4097915958596,FCI BERLIN,03570,60.0,0.0,0.48949930750579257
2024-05-07 22:03:04,794.5961524535854,FCI BERLIN,03570,60.0,0.0,0.48947975766647683
2024-05-08 22:03:04,797.6001848433992,FCI BERLIN,03570,60.0,0.0,0.48951213918098246
2024-05-01 22:03:21,1349.283726885241,USP BIG SANDY,41224,65.0,0.0,0.5071248066925492
2024-05-02 22:03:21,1347.3420429113144,USP BIG SANDY,41224,69.0,0.0,0.5164306499477609
2024-05-03 22:03:21,1347.191374323698,USP BIG SANDY,41224,60.0,0.0,0.4954375784317927
